order_no,booking_time,pickup_time,drop_off_time,driver_id,booking_pickup_latitude,booking_pickup_longitude,booking_destination_latitude,booking_destination_longitude,status,fare,surge_multiplier,customer_id,discount_amt,pickup_s2id_15,dropoff_s2id_15,pickup_s2id_14,dropoff_s2id_14,pickup_s2id_13,dropoff_s2id_13,trip_id,n_order,n_trip,n_cancel,time_period,weekend,wait_time_x,travel_time_x,wait_time_y,travel_time_y
RB-2981436795,2019-11-07 21:39:46,,2019-11-07 21:41:04,,1.301138,103.841973,1.289503,103.856886,2,1330,2.25,112019,0.0,3592211785890922496,3592211863200333824,3592211789112147968,3592211866421559296,3592211776227246080,3592211879306461184,38,2,0,2,pm_peak,0,,,,
RB-3041308455,2019-11-23 12:40:14,2019-11-23 12:53:54,2019-11-23 13:13:24,700143624.0,1.348403,103.841814,1.292693,103.820403,1,1340,1.5,112233,0.0,3592209211058028544,3592212421546082304,3592209212131770368,3592212424767307776,3592209199246868480,3592212429062275072,39,1,1,0,day_nonpeak,1,0 days 00:13:40,0 days 00:19:30,0 days 00:13:40,0 days 00:19:30
RB-2975399545,2019-11-06 13:59:42,2019-11-06 14:07:09,2019-11-06 14:23:28,700442906.0,1.3009231940184856,103.85947488248348,1.3039937,103.8319701,1,700,1.100000023841858,112369,0.0,3592211901855039488,3592211749383700480,3592211900781297664,3592211746162475008,3592211913666199552,3592211741867507712,40,1,1,0,day_nonpeak,0,0 days 00:07:27,0 days 00:16:19,0 days 00:07:27,0 days 00:16:19
RB-2955360295,2019-11-01 11:48:07,2019-11-01 11:56:07,2019-11-01 12:29:21,700703436.0,1.355303,103.987084,1.2461105,103.842491,1,2070,1.0,112454,0.0,3592250232290672640,3592217420888014848,3592250229069447168,3592217424109240320,3592250224774479872,3592217411224338432,41,1,1,0,day_nonpeak,0,0 days 00:08:00,0 days 00:33:14,0 days 00:08:00,0 days 00:33:14
RB-3064900384,2019-11-29 16:55:39,2019-11-29 17:07:37,2019-11-29 17:19:57,700758468.0,1.302304,103.85788,1.325976,103.84864,1,2360,3.0,112730,0.0,3592211899707555840,3592212099423535104,3592211900781297664,3592212098349793280,3592211913666199552,3592212085464891392,42,1,1,0,day_nonpeak,0,0 days 00:11:58,0 days 00:12:20,0 days 00:11:58,0 days 00:12:20
RB-3070366901,2019-11-30 23:05:57,,2019-11-30 23:08:31,,1.30364,103.87703,1.311989,103.839574,2,1760,1.9,112730,0.0,3592210353519329280,3592212153110626304,3592210354593071104,3592212149889400832,3592210367477972992,3592212154184368128,43,1,0,1,pm_peak,1,,,,
RB-3070391377,2019-11-30 23:15:26,,2019-11-30 23:18:25,,1.30364,103.87703,1.311989,103.839574,4,1760,1.9,112730,0.0,3592210353519329280,3592212153110626304,3592210354593071104,3592212149889400832,3592210367477972992,3592212154184368128,44,2,0,2,pm_peak,1,,,,
RB-3070403228,2019-11-30 23:20:04,,2019-11-30 23:20:45,,1.30362,103.87701,1.311989,103.839574,2,1860,2.0,112730,0.0,3592210353519329280,3592212153110626304,3592210354593071104,3592212149889400832,3592210367477972992,3592212154184368128,44,2,0,2,pm_peak,1,,,,
RB-2955240704,2019-11-01 11:13:05,2019-11-01 11:16:18,2019-11-01 11:46:11,700132939.0,1.32113652,103.84371664,1.2770894,103.8454868,1,760,1.0,112892,0.7,3592212133783273472,3592211223250206720,3592212132709531648,3592211222176464896,3592212119824629760,3592211226471432192,45,1,1,0,day_nonpeak,0,0 days 00:03:13,0 days 00:29:53,0 days 00:03:13,0 days 00:29:53
RB-2957968923,2019-11-01 20:08:42,2019-11-01 20:16:19,2019-11-01 20:31:49,700181970.0,1.308111,103.86259339,1.3066703,103.8273242,1,750,1.0,112892,0.7,3592212009229221888,3592211738646282240,3592212012450447360,3592211737572540416,3592212016745414656,3592211741867507712,46,1,1,0,pm_peak,0,0 days 00:07:37,0 days 00:15:30,0 days 00:07:37,0 days 00:15:30
RB-2958609709,2019-11-01 22:16:36,2019-11-01 22:24:10,2019-11-01 22:41:56,700237509.0,1.30494975,103.83026322,1.308111,103.86259339,1,1680,2.25,112892,1.6,3592211742941249536,3592212009229221888,3592211746162475008,3592212012450447360,3592211741867507712,3592212016745414656,47,1,1,0,pm_peak,0,0 days 00:07:34,0 days 00:17:46,0 days 00:07:34,0 days 00:17:46
RB-2959487885,2019-11-02 09:36:58,2019-11-02 09:43:27,2019-11-02 10:04:11,700624515.0,1.308111,103.86259339,1.3535,103.98758,1,1520,1.0,112892,0.0,3592212009229221888,3592250251618025472,3592212012450447360,3592250254839250944,3592212016745414656,3592250259134218240,48,1,1,0,am_peak,1,0 days 00:06:29,0 days 00:20:44,0 days 00:06:29,0 days 00:20:44
RB-3010378000,2019-11-15 13:51:23,2019-11-15 13:57:38,2019-11-15 14:27:27,700136426.0,1.3083868521703284,103.85204013437033,1.4226526,103.7632593,1,2300,1.5,112892,0.0,3592211996344320000,3592203752154595328,3592211995270578176,3592203748933369856,3592211982385676288,3592203736048467968,49,1,1,0,day_nonpeak,0,0 days 00:06:15,0 days 00:29:49,0 days 00:06:15,0 days 00:29:49
RB-3012763083,2019-11-15 23:09:18,2019-11-15 23:18:32,2019-11-15 23:39:50,700318858.0,1.4219327364649492,103.76226659864189,1.3083868521703284,103.85204013437033,1,1970,1.100000023841858,112892,0.0,3592203752154595328,3592211996344320000,3592203748933369856,3592211995270578176,3592203736048467968,3592211982385676288,50,1,1,0,pm_peak,0,0 days 00:09:14,0 days 00:21:18,0 days 00:09:14,0 days 00:21:18
RB-3016914375,2019-11-17 11:06:13,2019-11-17 11:08:01,2019-11-17 11:19:22,700426383.0,1.3083868521703284,103.85204013437033,1.3062718,103.8318994,1,760,1.2000000476837158,112892,0.0,3592211996344320000,3592211747236216832,3592211995270578176,3592211746162475008,3592211982385676288,3592211741867507712,51,1,1,0,day_nonpeak,1,0 days 00:01:48,0 days 00:11:21,0 days 00:01:48,0 days 00:11:21
RB-3018822188,2019-11-17 23:20:19,2019-11-17 23:25:26,2019-11-17 23:46:35,700302227.0,1.4219327364649492,103.76226659864189,1.300979,103.8388955,1,1750,1.0,112892,0.0,3592203752154595328,3592211764416086016,3592203748933369856,3592211763342344192,3592203736048467968,3592211776227246080,52,1,1,0,pm_peak,1,0 days 00:05:07,0 days 00:21:09,0 days 00:05:07,0 days 00:21:09
RB-3018936384,2019-11-18 01:52:32,2019-11-18 01:56:15,2019-11-18 02:01:39,700282310.0,1.30054839,103.83847388,1.3083868521703284,103.85204013437033,1,1010,1.2999999523162842,112892,0.0,3592211762268602368,3592211996344320000,3592211763342344192,3592211995270578176,3592211776227246080,3592211982385676288,53,1,1,0,midnight,0,0 days 00:03:43,0 days 00:05:24,0 days 00:03:43,0 days 00:05:24
RB-3019771609,2019-11-18 09:23:03,,2019-11-18 09:29:55,700580648.0,1.3083868521703284,103.85204013437033,1.3384416,103.9836789,3,1460,1.0,112892,0.0,3592211996344320000,3592250479251292160,3592211995270578176,3592250478177550336,3592211982385676288,3592250465292648448,54,1,0,1,am_peak,0,,,,
RB-2988626838,2019-11-09 17:56:16,,2019-11-09 17:56:46,700469182.0,1.35519,103.850865,1.303994,103.83197,3,1260,1.399999976158142,113034,0.0,3592209054291722240,3592211749383700480,3592209057512947712,3592211746162475008,3592209061807915008,3592211741867507712,55,1,0,1,pm_peak,1,,,,
RB-2988629247,2019-11-09 17:56:59,2019-11-09 18:09:44,2019-11-09 18:36:55,700278105.0,1.35519,103.850865,1.3064411,103.8312429,1,1260,1.399999976158142,113034,0.0,3592209054291722240,3592211747236216832,3592209057512947712,3592211746162475008,3592209061807915008,3592211741867507712,56,1,1,0,pm_peak,1,0 days 00:12:45,0 days 00:27:11,0 days 00:12:45,0 days 00:27:11
RB-2989168153,2019-11-09 20:42:25,2019-11-09 20:52:29,2019-11-09 21:02:01,700279577.0,1.311989,103.839574,1.300886,103.838356,1,680,1.2999999523162842,113034,0.0,3592212153110626304,3592211764416086016,3592212149889400832,3592211763342344192,3592212154184368128,3592211776227246080,57,1,1,0,pm_peak,1,0 days 00:10:04,0 days 00:09:32,0 days 00:10:04,0 days 00:09:32
RB-2990620406,2019-11-10 12:17:09,2019-11-10 12:23:12,2019-11-10 12:55:58,700289989.0,1.306463,103.831222,1.361117,103.990127,1,1640,1.0,113034,0.0,3592211747236216832,3592250215110803456,3592211746162475008,3592250211889577984,3592211741867507712,3592250224774479872,58,1,1,0,day_nonpeak,1,0 days 00:06:03,0 days 00:32:46,0 days 00:06:03,0 days 00:32:46
RB-3066493024,2019-11-29 23:00:50,2019-11-29 23:05:51,2019-11-29 23:36:48,700285064.0,1.360913,103.98985,1.2908153,103.8391747,1,1940,1.2,113080,3.0,3592250215110803456,3592211820250660864,3592250211889577984,3592211823471886336,3592250224774479872,3592211810586984448,59,1,1,0,pm_peak,0,0 days 00:05:01,0 days 00:30:57,0 days 00:05:01,0 days 00:30:57
